id,top_name,two_name
1,化妆品,缤纷彩妆
2,机电产品及设备,无二级类目
3,家具,家用家具
4,家具,其他家具
5,家具,专用家具
6,家用电器和音像器材,家用保健电器
7,家用电器和音像器材,家用厨房电器具
8,家用电器和音像器材,其他家用电器和音像器材
9,家用电器和音像器材,清洁电器
10,建筑及装潢材料,建筑材料及其他非金属矿物制品
11,建筑及装潢材料,其他建筑及装潢材料
12,金银珠宝,其他金银珠宝
13,金银珠宝,首饰
14,金银珠宝,珠宝饰品
15,粮油、食品,调味品
16,粮油、食品,豆制品
17,粮油、食品,辅食
18,家用电器和音像器材,洗涤电器
19,家用电器和音像器材,小家电
20,家用电器和音像器材,音像器材
21,家用电器和音像器材,制冷电器
22,建筑及装潢材料,办公和家庭用的室内装饰材料
23,建筑及装潢材料,非金属矿采选成品
24,电子出版物及音像制品,电子出版物
25,电子出版物及音像制品,其他电子出版物及音像制品
26,电子出版物及音像制品,音像制品
27,非实物,非实物
28,服装鞋帽、针纺织品,服装
29,服装鞋帽、针纺织品,其他服装鞋帽、针纺织品
30,服装鞋帽、针纺织品,箱包皮具
31,服装鞋帽、针纺织品,鞋帽
32,服装鞋帽、针纺织品,针纺织品
33,化妆品,洁发护发美发用品
34,化妆品,洁肤护肤美容用品
35,化妆品,口腔护理
36,化妆品,女性护理
37,化妆品,其它化妆品
38,化妆品,药物美容美体用品
39,日用品,照明器具
40,日用品,钟表眼镜及配件
41,书报杂志,报纸
42,书报杂志,期刊杂志
43,书报杂志,其他书报杂志
44,书报杂志,书籍
45,体育、娱乐用品,户外用品
46,体育、娱乐用品,健身器材
47,体育、娱乐用品,乐器
48,体育、娱乐用品,其他体育、娱乐用品
49,体育、娱乐用品,棋牌
50,体育、娱乐用品,体育用品
51,体育、娱乐用品,游戏话费
52,体育、娱乐用品,游艺器材
53,体育、娱乐用品,照相器材及用品
54,通讯器材,传真设备
55,通讯器材,电话机
56,通讯器材,对讲机
57,通讯器材,其他通讯器材
58,通讯器材,手机
59,通讯器材,手机配件
60,文化办公用品,计算机及其配套产品
61,文化办公用品,其他文化办公用品
62,文化办公用品,学习和办公用品
63,五金、电料,电动工具
64,粮油、食品,蔬菜
65,粮油、食品,粮油
66,粮油、食品,奶及奶制品
67,粮油、食品,其他粮油、食品
68,粮油、食品,肉禽蛋
69,粮油、食品,食糖
70,粮油、食品,食盐
71,粮油、食品,水产品
72,粮油、食品,水果
73,粮油、食品,休闲食品
74,粮油、食品,营养健康食品
75,粮油、食品,滋补食品
76,汽车,车载电器
77,汽车,机动车
78,汽车,其他汽车
79,汽车,汽车装饰
80,日用品,保健器械
81,五金、电料,电气控制
82,五金、电料,机电五金
83,五金、电料,机械五金
84,五金、电料,家用五金工具
85,五金、电料,其他五金、电料
86,五金、电料,气动工具
87,五金、电料,施工保护工具
88,五金、电料,手动工具
89,五金、电料,液压工具
90,烟酒,酒
91,饮料,茶叶
92,饮料,果菜汁
93,饮料,咖啡
94,饮料,其他饮料
95,饮料,饮用水
96,中西药品,其他中西药品
97,中西药品,西药
98,中西药品,中草药及中成药
99,日用品,儿童玩具
100,日用品,工艺品
101,日用品,其他日用品
102,日用品,燃气灶具
103,日用品,人力或助动力车类及配件
104,日用品,日用百货
105,日用品,日用化工产品
106,日用品,日用杂品
107,食品/饮料/酒水,食品礼券
108,母婴用品/玩具乐器,适用年龄
109,手机数码,手机通讯
110,农用物资,兽用器具
111,拍卖/收藏,司法拍卖
112,农用物资,饲料
113,拍卖/收藏,特色
114,图书杂志,外语学习
115,汽配用品,维修保养
116,图书杂志,文化用品
117,拍卖/收藏,文玩收藏
118,音乐影视,文娱周边
119,家装建材,五金家装
120,教育音像,小语种/汉语学习
121,本地生活,演出票务
122,拍卖/收藏,艺术品
123,手机数码,影音娱乐
124,农用物资,园林/农耕
125,教育音像,职业教育
126,钟表礼品,钟表
127,拍卖/收藏,珠宝玉器
128,家装建材,装修服务
129,拍卖/收藏,紫砂陶瓷
130,母婴用品/玩具乐器,DIY玩具
131,汽配用品,安全自驾
132,电脑/办公,服务产品
133,拍卖/收藏,古董珍玩
134,旅游出行,机票预订
135,教育音像,教材/教辅
136,本地生活,教育培训
137,旅游出行,酒店预订
138,旅游出行,旅游度假
139,母婴用品/玩具乐器,妈妈专区
140,汽配用品,美容清洗
141,运动户外,骑行运动
142,汽配用品,汽车服务
143,旅游出行,签证门票
144,教育音像,亲子幼教
145,旅游出行,商旅服务
146,手机数码,摄影摄像
147,本地生活,生活服务
